Station ,Postcode,Station ,Lat,Long
Mndela Way / Dunton Road,SE1 5SZ,R1.2a,51.490359,-0.076303
St James' Rd / Sandgate Street,SE15 1LA,R1.3a,51.484338,-0.064588
